,Revenue,Gross Margin,Operating Margin,Gross Profit,Operating Profit,Net Income,EPS,PE Ratio,Discounted Cash Flow
288,1675.3,0.17,0.17,298.22,279.09,55.82,0.48,29.56,122.40316858689926
289,1632.15,0.17,0.08,210.7,149.38,42.5,0.37,30.29,98.86089671820301
290,1631.14,0.18,0.13,256.73,220.52,44.1,0.38,30.3,88.65744580625528
291,1645.18,0.19,0.1,340.61,127.34,32.12,0.28,30.18,57.15143163384353
292,1498.19,0.23,0.1,329.37,152.91,30.85,0.27,29.63,59.41342721059111
293,1597.91,0.24,0.09,414.9,167.83,35.96,0.31,29.53,76.68151803397132
294,1672.29,0.08,0.12,188.36,245.67,49.44,0.43,29.88,89.36257514939985
295,1539.52,0.22,0.1,288.65,138.73,27.75,0.24,30.22,60.10370038730769
296,1585.13,0.19,0.1,316.38,108.67,23.23,0.2,30.64,51.73711818913686
297,1667.72,0.22,0.11,296.98,207.52,43.2,0.37,29.73,92.45383794630519
298,1520.93,0.17,0.11,240.29,151.49,30.3,0.26,29.57,60.37858825681044
299,1625.66,0.19,0.06,355.28,170.67,41.5,0.36,30.07,99.4299209246451
300,1570.66,0.18,0.12,250.5,161.45,33.43,0.29,29.88,72.08570363731705
301,1661.24,0.15,0.13,276.4,204.78,40.96,0.35,29.97,79.94496730852019
302,1479.78,0.18,0.08,292.91,67.66,25.01,0.22,30.11,46.03208007879467
303,1653.7,0.16,0.09,341.3,219.57,44.88,0.39,30.47,93.98139662844943
304,1726.46,0.18,0.1,316.73,195.12,39.84,0.34,29.6,87.82463329263457
305,1703.92,0.19,0.11,282.66,182.83,37.39,0.32,29.84,64.75633837120711
306,1536.2,0.22,0.12,325.25,193.57,39.02,0.34,30.54,80.26818800491878
307,1588.39,0.22,0.14,484.23,257.07,51.57,0.45,29.1,103.15445000359914
308,1633.39,0.15,0.06,287.6,140.98,29.36,0.25,29.97,64.50406353873953
309,1584.33,0.16,0.09,237.98,89.08,24.71,0.21,29.91,45.21189358954878
310,1662.15,0.19,0.09,277.39,136.85,27.37,0.24,29.73,53.57627829544982
311,1579.43,0.18,0.13,347.92,232.32,46.46,0.4,29.8,109.28868648535553
312,1613.44,0.18,0.15,250.3,278.62,57.3,0.5,29.73,125.36199805294632
313,1624.61,0.22,0.09,472.9,174.49,42.71,0.37,29.78,90.41442123613155
314,1662.1,0.2,0.12,321.5,188.37,37.67,0.33,29.77,66.83320008873392
315,1597.71,0.24,0.04,407.3,126.32,31.66,0.27,30.33,70.1201633723792
316,1609.53,0.19,0.13,322.0,198.17,39.63,0.34,29.98,77.53181011217418
317,1564.31,0.18,0.16,316.11,287.52,57.5,0.5,29.46,115.2236908112221
318,1610.78,0.22,0.08,407.21,129.86,26.39,0.23,30.62,54.949940881745135
